district,crop,pH,N,P,K,avg_temp,total_rainfall,avg_humidity,yield
Jayashankar Bhupalpally,Bengal Gram,7.1,121,67,78,26.043202942886403,331.2936746129984,54.55624016929754,3.16
Vikarabad,Rice,6.8,166,53,80,24.089055943475167,294.9930516596271,70.98527695716913,6.16
Hanumakonda,Bengal Gram,7.0,134,48,73,23.03638249369441,737.9805021019778,69.99942161218264,3.19
Jagtial,Sesame,6.7,157,53,73,37.102934060452824,632.0811460370188,74.29374528570978,3.58
Bhadradri Kothagudem,Bajra,6.0,38,79,75,28.29723256640934,846.5026612261668,67.86170656918748,3.85
Hanumakonda,Maize,6.9,160,51,67,34.41636518355941,266.5706296547536,61.10444478108455,4.7
Mahabubnagar,Rice,5.4,101,48,48,34.40108177277582,811.9061226360521,53.95250216418934,5.45
Nagarkurnool,Rice,5.3,124,52,23,26.770759830326206,621.7639377651337,65.79460775072664,5.89
Vikarabad,Onion,6.1,76,54,44,29.985868384664077,331.7773486954184,53.01132375597049,26.25
Nalgonda,Soybean,5.6,103,47,54,37.12121941801314,418.9282031854315,71.69806069595161,4.05
Jogulamba Gadwal,Maize,7.0,60,39,30,28.800106007541032,612.313147222621,81.35424521877272,3.98
Jangaon,Red Gram,6.7,49,69,71,30.78542338719207,646.8894279022309,63.35760577913763,3.42
Jangaon,Bengal Gram,5.7,110,33,30,36.946640119673624,852.9876624680938,80.73965308853826,3.14
Hanumakonda,Groundnut,5.0,159,71,71,29.19000897421229,291.30575063352023,64.23142201800142,4.09
Suryapet,Sugarcane,7.0,132,53,33,35.567962506757866,475.9614229390002,70.31145092591025,66.62
Adilabad,Groundnut,6.7,124,25,31,33.73352405506042,889.5519640030371,66.51414008354796,3.73
Mancherial,Groundnut,6.7,125,54,29,30.485329991183686,853.3343481930547,48.26141124077687,4.28
Mulugu,Rice,7.0,154,36,64,31.45308356035531,235.19026528968644,64.96120898463269,5.56
Khammam,Bajra,6.5,63,67,72,26.548712335902096,304.84144872872866,42.69078974003287,2.88
Medak,Chilli,6.9,78,23,24,30.889090636455954,443.3064038386094,60.544601282852284,3.39
Narayanpet,Sugarcane,5.8,173,40,67,36.82868517519759,723.7648787534071,79.30389833734682,67.76
Nirmal,Maize,6.0,165,59,57,27.684791582561868,290.436418237269,83.86035408214252,4.85
Hyderabad,Sunflower,6.9,108,29,29,24.83735115591601,280.1815950540587,59.244986704420626,3.5
Rajanna Sircilla,Rice,6.0,164,44,71,34.964673300227105,636.9900860577513,51.477479046530846,5.64
Mahabubabad,Red Gram,5.7,157,79,32,35.291258017725184,206.04235138838925,55.543111805342164,3.27
Jangaon,Cotton,5.7,71,59,68,33.778088466587256,740.774244576641,65.5359484523163,4.07
Mahabubnagar,Groundnut,5.8,75,78,67,35.566955283731794,401.9651684739123,58.89949229616498,3.49
Hanumakonda,Sesame,5.8,132,38,32,32.49898688487096,884.3967964355027,46.853462088620844,3.36
Nirmal,Maize,5.3,138,38,29,24.498510247054213,343.3452148391225,55.67094351694725,4.81
Hanumakonda,Chilli,6.7,95,69,29,33.55786547402343,554.4140680853186,48.40246182960245,3.96
Nalgonda,Maize,5.1,161,72,31,35.89920296364121,202.29929272340368,67.61040696560977,4.86
Vikarabad,Onion,5.9,40,43,56,31.175102893710488,499.4117482865457,58.74769837519731,26.0
Rajanna Sircilla,Ragi,6.9,22,73,28,22.290847103427964,446.1905782227093,75.95641223493783,2.1
Narayanpet,Ragi,7.3,117,66,37,33.12489391642853,374.0880137226105,41.09803654615129,3.02
Mahabubabad,Red Gram,6.7,161,49,67,36.378772424748526,537.4480852046236,84.00098987620605,3.1
Narayanpet,Jowar,6.4,165,37,46,26.232903059966425,620.1688243240083,83.21495935046272,4.05
Suryapet,Red Gram,6.9,91,45,35,30.42919751267756,841.0489718992602,79.84701407872731,3.53
Hanumakonda,Bengal Gram,5.6,74,76,40,23.075229641157428,552.1035528422067,57.17133077689478,2.95
Siddipet,Sugarcane,5.8,81,36,22,29.745476423749544,284.19768721253934,53.914120903106316,66.56
Kamareddy,Sesame,7.1,61,24,72,37.34365477791802,751.7849279812273,83.64834476827113,2.34
Medchal Malkajgiri,Jowar,5.5,166,66,34,24.43333358339515,744.8544639408219,83.09860736400478,4.75
Rangareddy,Rice,7.0,45,22,67,28.010047553283187,415.15539400556395,66.50594802234568,4.43
Adilabad,Jowar,6.5,78,49,32,37.46921737043064,473.813261883283,83.17173929490963,3.1
Warangal,Ragi,6.4,27,64,69,26.523211462221965,607.5467002564993,75.2029631828909,2.94
Vikarabad,Chilli,7.0,81,47,25,23.70199934655504,337.6230558910634,63.41524500981826,3.66
Adilabad,Cotton,5.5,72,74,63,26.62904305332284,790.0296066492662,69.87014771173139,4.26
Peddapalli,Jowar,6.1,37,30,65,24.720247718995957,636.8709446087204,71.16188881462925,3.44
Nirmal,Rice,6.6,27,34,58,22.645477896614132,373.29727291224333,68.17960062003272,4.63
Khammam,Sugarcane,6.6,54,64,52,36.25826789617565,617.5979328010401,77.59016329960554,66.33
Medak,Groundnut,7.1,92,50,26,31.750637872746367,756.0312806871482,72.60095677827087,4.38
Rajanna Sircilla,Ragi,5.3,98,46,55,22.90226828685242,799.4409510167824,77.59810340446637,3.83
Yadadri Bhuvanagiri,Sugarcane,6.5,99,25,28,28.855831360922103,892.6398591239196,56.995401795716575,67.39
Karimnagar,Maize,7.3,89,79,44,22.257615332088015,891.3883073745067,53.8284190825456,5.14
Peddapalli,Soybean,5.4,76,62,71,33.69337380554643,598.0356445442844,67.35429099569461,3.63
Komaram Bheem Asifabad,Cotton,6.5,148,30,40,30.615480162485753,420.8111098984225,58.465765293425825,4.48
Medak,Sunflower,6.8,38,59,20,24.746889911776723,537.5212816511819,51.21763804726186,2.52
Suryapet,Chilli,7.3,47,22,38,30.448567545710294,455.03328816666027,66.12012494642704,3.42
Wanaparthy,Jowar,6.3,122,38,78,28.891165718219995,846.6233127565671,69.54437440536489,4.61
Peddapalli,Soybean,7.2,164,65,21,23.581226226143873,321.94569604946105,77.15223645965892,4.41
Rajanna Sircilla,Sunflower,5.8,115,22,74,36.56409646546864,503.80395887087576,55.99039233012398,3.08
Nirmal,Red Gram,5.7,36,73,25,25.40702023263228,673.3726287931781,62.081119583737895,2.32
Komaram Bheem Asifabad,Sugarcane,6.1,96,56,43,33.11374113899477,845.8700657155001,73.9479296166131,67.19
Mahabubabad,Sesame,6.0,53,38,79,27.91931113925972,819.3905275070991,40.064160755811045,2.32
Jangaon,Bengal Gram,6.5,100,41,52,28.628466341147565,380.93391257314806,57.59762175489037,3.15
Nalgonda,Red Gram,5.4,56,24,32,36.77961004194178,357.81217872989254,49.99314441863146,2.19
Warangal,Ragi,5.3,98,77,41,26.23773402903253,889.452747642937,44.17621342306094,3.82
Narayanpet,Cotton,5.3,110,44,42,29.094914165876663,705.9304627411025,50.16565111763365,4.21
Medchal Malkajgiri,Red Gram,7.1,38,80,65,33.34413986466123,597.2365808262787,84.91841092106644,2.42
Narayanpet,Groundnut,6.4,146,74,49,27.842499844781617,810.5267525274667,82.32869375618421,4.64
Rangareddy,Chilli,7.0,109,75,71,23.531530315864835,338.6981352886587,66.97482179804828,3.63
Hanumakonda,Ragi,6.4,92,46,74,29.014375658219542,717.7439909758068,57.931527789724555,4.0
Suryapet,Onion,7.4,20,79,34,35.158782613790294,459.18049694043026,53.07993065368579,26.29
Jayashankar Bhupalpally,Rice,7.1,35,58,36,35.54921917514277,628.1220082145339,51.24742208688308,4.71
Nirmal,Sugarcane,5.9,136,45,56,36.400458727469456,458.1130856238153,68.08089463106575,66.61
Rangareddy,Chilli,6.5,109,43,61,35.13383559275462,435.4915581081543,79.2386765915515,4.01
Komaram Bheem Asifabad,Sunflower,5.3,122,79,34,36.4271841348648,541.7425287301362,70.45759022464668,4.21
Adilabad,Maize,6.1,50,41,63,32.36779058735746,478.1651322448394,44.804047013724514,4.35
Bhadradri Kothagudem,Cotton,6.1,149,72,42,34.838778615164756,670.2570078881511,47.33431529493061,4.69
Kamareddy,Sunflower,6.4,140,68,30,33.88764550812226,519.419032839595,66.59559243930013,4.16
Warangal,Bajra,7.2,129,74,39,37.92415150418493,517.5870648231098,57.51100468037974,4.21
Nirmal,Maize,5.6,70,80,49,37.935735762150514,660.7513978630036,56.61124852502107,4.87
Wanaparthy,Onion,6.8,75,72,80,29.665160804236855,447.6793010775321,68.268702448302,26.38
Nagarkurnool,Maize,7.5,117,39,24,22.506873486342123,490.63314447681535,67.2613706276711,4.89
Mancherial,Onion,6.3,161,36,39,36.49792592067638,714.0475497355472,75.16863644301759,27.38
Jagtial,Jowar,5.2,40,75,35,22.65740576069439,699.2632718638863,66.82682380718207,2.81
Hanumakonda,Sesame,6.1,25,31,41,34.53147817820384,380.23903520121314,46.082757686647376,1.95
Medak,Bajra,6.1,119,76,22,30.417414230085193,337.92984952749794,68.91214097412148,3.99
Nizamabad,Soybean,6.1,32,58,58,24.404491561071836,680.1417319114408,64.9892050328065,3.66
Rangareddy,Rice,7.5,96,35,27,24.28375914734684,757.2283309557205,64.03507253912306,5.59
Khammam,Jowar,5.7,47,33,44,32.65628077722813,471.28388232853865,48.57204106567986,2.93
Mancherial,Chilli,5.1,39,21,50,33.218962817998644,249.0151631510543,77.06089338324833,3.12
Warangal,Rice,7.5,94,48,79,36.18779483136538,366.3879250271209,44.77488671827628,4.94
Hyderabad,Bajra,7.5,46,28,66,37.46073498895906,884.8875441198023,78.88378923317376,3.63
Peddapalli,Maize,6.7,173,51,66,30.05706080261651,547.1095293278422,48.91499227691842,5.7
Medak,Sunflower,6.7,159,60,44,27.44996074389047,475.84700013163945,65.15446753706503,4.3
Karimnagar,Sunflower,5.7,69,79,27,27.07660636322754,213.3478473293089,68.75882769698909,3.5
Komaram Bheem Asifabad,Bajra,6.6,128,61,71,29.039843260723863,564.5903539263982,43.09950177130995,4.11
Nagarkurnool,Sesame,6.5,87,68,28,34.06009201765858,344.1714814289643,78.82446877577792,2.7
Medak,Chilli,7.4,33,31,61,23.13194846528571,631.1747058033827,71.88818000604451,3.4
Warangal,Chilli,5.2,20,67,48,36.02121939908281,569.5895110565813,61.703403012531055,2.87
Jogulamba Gadwal,Rice,7.4,178,41,66,37.67633539654277,814.5429100797248,62.34484235220832,5.71
Mahabubabad,Onion,5.2,142,51,77,29.308092244203152,309.05590616881005,70.20043711294574,27.64
Jayashankar Bhupalpally,Ragi,5.7,110,32,49,26.879007548917627,370.44947845865954,53.170856832925836,3.52
Bhadradri Kothagudem,Bengal Gram,7.0,179,29,35,34.867403306491966,484.629661317209,74.29205484504935,3.51
Peddapalli,Sunflower,7.1,88,58,23,24.463641424931982,287.9564680869133,72.07082404614829,3.19
Adilabad,Cotton,7.3,79,23,64,25.426934279461356,718.7389531462323,61.51854723376899,4.54
Nagarkurnool,Soybean,6.7,94,60,73,37.00379979465082,678.4029892422055,80.72453786772937,4.44
Sangareddy,Rice,6.8,67,60,32,34.7714333280547,330.8463300311698,60.90558007585878,4.94
Rangareddy,Chilli,5.6,69,22,56,29.986423868739358,591.2848331100624,60.063166333246684,3.92
Jayashankar Bhupalpally,Sunflower,5.2,89,31,35,28.49438596350979,835.1856123414287,79.46745605116996,3.9
Bhadradri Kothagudem,Onion,5.0,97,70,49,31.126839143882155,373.90298729857494,43.72860863197441,26.43
Nagarkurnool,Red Gram,5.9,112,53,63,22.737610102446148,221.3187524935683,76.65481501330615,2.79
Nagarkurnool,Chilli,6.4,20,42,39,29.432725665000245,814.9586895548159,49.01412227104395,3.72
Siddipet,Bajra,6.8,168,75,41,22.842042966089274,254.1967285307081,61.613601886724254,4.13
Nirmal,Red Gram,6.9,51,30,38,37.35551439727746,361.197393050951,80.60608305388992,2.42
Vikarabad,Bengal Gram,6.7,117,39,59,28.75333224143349,638.3049765000053,51.803441905368,3.81
Jangaon,Ragi,6.4,29,35,61,36.24047603960838,791.0807153608818,80.59910690742751,2.81
Nagarkurnool,Sunflower,6.2,103,79,75,34.37594283861848,640.3497335211882,47.349258804781414,3.81
Adilabad,Chilli,6.5,172,26,33,30.03952645516499,229.2337924159857,59.75966224388684,3.87
Rangareddy,Rice,5.8,106,73,70,31.147901025482987,639.8030396535818,53.87197654217722,5.93
Medchal Malkajgiri,Maize,5.5,150,45,20,35.65260764647849,346.6331620436175,66.37322368159164,5.36
Medak,Bajra,6.7,98,31,42,28.928597261527273,212.0470467224808,56.93283183662116,3.71
Narayanpet,Maize,5.6,100,67,38,25.846466061352352,592.5871146789925,65.60565189209913,4.91
Vikarabad,Jowar,5.4,83,33,47,26.74044848136551,324.53768095404666,47.35851902763912,3.35
Suryapet,Sesame,6.6,123,27,51,26.063317648108402,623.1208095417624,71.96153664341544,2.79
Khammam,Sunflower,6.6,156,53,73,36.00696236101927,364.654033456643,60.537705815336906,4.05
Jogulamba Gadwal,Sesame,6.2,134,40,71,37.953333119082245,812.4443227252245,52.82315615683616,3.02
Bhadradri Kothagudem,Bajra,6.1,43,46,30,34.26026925133284,433.66462530671384,47.11354413667768,2.47
Hanumakonda,Groundnut,7.1,31,51,44,33.16388313247755,525.928863295906,77.8850703133169,2.81
Peddapalli,Bengal Gram,5.1,132,30,51,23.58889066110452,423.1894467005043,64.40723836891146,2.96
Nirmal,Groundnut,5.7,40,66,32,25.361645580254315,828.0576654652643,40.54586461702236,3.51
Jogulamba Gadwal,Onion,6.2,172,25,25,25.48899637332159,632.1449770738211,40.48572159819302,27.11
Jangaon,Groundnut,6.6,70,53,20,23.582808348217867,203.71335395808205,40.14887215861925,2.83
Hyderabad,Bengal Gram,5.1,115,52,63,35.105386588224135,536.7393677538967,49.78663197586487,3.14
Bhadradri Kothagudem,Bajra,6.0,99,78,72,34.58277624102617,813.8746491528524,40.794271916376836,4.45
Rajanna Sircilla,Sunflower,5.8,57,45,25,33.84276098721011,268.95964588047457,82.63407485404258,2.3
Sangareddy,Jowar,5.3,36,38,76,24.685181844721733,571.0373421712566,75.05962020705346,2.9
Nalgonda,Bengal Gram,6.5,156,58,64,27.314705980486643,226.9043125682799,76.49897388860612,3.74
Suryapet,Groundnut,6.6,103,20,22,36.90551053663295,519.4484170167891,48.26572327898557,3.64
Adilabad,Sesame,7.3,158,30,37,36.9721158188016,427.18994883874177,52.15774409543708,3.28
Mahabubabad,Sunflower,5.1,148,40,53,37.0455863499854,399.8799150373245,45.70222771316409,3.45
Nizamabad,Groundnut,6.3,85,34,75,31.29725615770957,370.9333607656291,43.04921173916876,3.46
Bhadradri Kothagudem,Sesame,5.6,29,40,26,33.58734019007292,814.8828800350999,62.50010838964622,2.44
Wanaparthy,Soybean,7.1,20,53,36,31.202354749717696,711.5545714469977,63.19846962360819,3.5
Nizamabad,Chilli,6.9,153,50,61,26.033337495151997,409.30020011743306,52.59011496301668,4.07
Mahabubabad,Maize,6.6,90,68,64,26.368839486299617,845.5694314594974,53.146686827341995,5.09
Siddipet,Rice,5.1,62,59,71,33.34976523822039,539.4767895928427,83.25426599695805,4.72
Vikarabad,Onion,5.2,54,23,41,33.072759000913315,496.2249978386366,64.30115983405496,26.56
Medak,Bengal Gram,5.4,63,76,41,26.54738390934219,788.0201828610976,63.43450273726974,2.64
Jayashankar Bhupalpally,Groundnut,7.3,104,75,29,23.204605464454893,368.71421778891556,74.18223400611677,3.61
Peddapalli,Sesame,7.3,155,35,31,30.94957042152494,506.77010320497186,50.659778439426866,3.57
Vikarabad,Onion,6.8,44,59,59,34.52386041984075,702.118377187752,61.44779089803303,26.31
Hanumakonda,Sugarcane,7.2,135,78,63,28.911763443776685,402.7678791648417,74.24989766213335,67.81
Adilabad,Chilli,5.3,24,68,59,31.978571100672582,324.33599626432675,77.02263014696936,2.79
Hanumakonda,Maize,5.8,77,22,70,37.72384817388772,498.9624740012783,70.14822965681996,4.17
Jayashankar Bhupalpally,Chilli,5.5,130,57,36,33.945518077125136,638.0673341623816,48.84324769188298,4.56
Hyderabad,Cotton,6.9,89,52,35,33.35819258596514,867.1844887859963,51.299151310513416,4.64
Warangal,Cotton,7.3,113,39,23,23.066017072215168,241.60340423161293,75.31730202308563,4.04
Nagarkurnool,Rice,7.4,179,70,30,23.702586477830934,223.00436131296593,67.80654424637234,5.91
Mancherial,Maize,5.9,26,47,33,31.487710805457258,211.64493164018998,40.09885305414207,3.77
Adilabad,Ragi,6.2,148,53,63,22.244095072380937,723.9935044952363,71.72361323870332,3.64
Mahabubabad,Bengal Gram,5.9,57,45,73,32.39749006345731,897.1375340698819,62.40515229414562,3.36
Hyderabad,Chilli,5.4,143,34,59,31.417045080325167,846.6725043487972,41.11955146648011,4.59
Adilabad,Ragi,6.5,46,51,76,33.34735488427634,778.9831649481134,52.95988901345675,3.54
Yadadri Bhuvanagiri,Ragi,6.8,105,69,40,22.77176337009743,260.34801314861056,59.81707966858035,3.41
Adilabad,Sesame,5.4,25,29,43,26.74979007081625,583.754503380189,75.75587248091284,1.82
Khammam,Groundnut,7.5,58,39,53,22.609743877964558,375.9033833103171,82.7035837540469,3.2
Khammam,Groundnut,5.8,63,36,54,29.372016848850976,260.7345120295024,56.9029143646017,3.64
Medak,Sesame,6.8,77,72,72,24.7350524342374,454.6039586614526,78.64048274432996,2.52
Rajanna Sircilla,Rice,5.9,35,36,22,34.943846751281896,810.4294102642223,57.298861458149716,5.08
Jagtial,Maize,6.7,24,52,77,32.90031316937997,323.76588747914116,81.97244608656504,3.63
Jayashankar Bhupalpally,Chilli,6.9,110,43,59,35.3635434951397,264.74838313557353,50.57175378402616,3.26
Jangaon,Rice,7.0,52,54,27,26.371243391455668,775.9964132639406,48.588658187780005,5.21
Bhadradri Kothagudem,Bajra,6.9,63,41,25,25.18145852916251,257.7062882000325,71.1739920185821,2.33
Suryapet,Sugarcane,7.1,61,59,49,36.58537835729684,339.3351445161411,45.45897570884333,66.23
Jangaon,Soybean,5.1,75,41,65,33.51827860689134,354.96869993939663,42.10010796181669,3.51
Mahabubnagar,Ragi,6.8,154,69,54,26.960943140669027,841.6705432192588,48.67013977853879,4.32
Hyderabad,Sesame,6.2,34,25,54,33.81318981331014,522.2411641413419,64.50423285370363,2.31
Jagtial,Sugarcane,6.7,49,39,58,26.846639269755805,799.6732789042146,75.73726884046437,66.65
Kamareddy,Jowar,5.3,57,63,72,37.877600203331795,892.3267125989486,63.55273094013212,3.27
Jangaon,Maize,7.2,21,61,33,24.401811399777756,737.3315045909658,70.62725665596815,4.47
Jangaon,Sunflower,6.5,104,20,61,31.36073796262606,896.9278720798832,45.7997395563453,4.39
Medchal Malkajgiri,Cotton,5.4,37,75,24,24.187525621470435,782.6036890391233,42.380859965708595,3.9
Mulugu,Sugarcane,7.2,172,51,22,33.65513824118558,315.52083170579,76.05564663444056,67.48
Nagarkurnool,Maize,6.0,89,76,50,32.449798294400296,602.4853595653644,48.96197426255098,5.16
Mahabubabad,Sesame,5.4,59,39,39,37.248280539485656,308.8650481011331,80.89492054192323,1.8
Bhadradri Kothagudem,Groundnut,6.5,61,61,56,31.959301079686007,265.82139577697046,43.76814321064756,3.29
Siddipet,Soybean,6.8,113,47,73,28.29855049466416,727.0034709007622,54.263774653125836,4.09
Rajanna Sircilla,Ragi,5.2,122,72,67,37.91460817983894,822.4171345792934,50.60263783482314,3.9
Nizamabad,Soybean,5.2,88,56,47,36.50303128579196,547.9298446545572,72.99233132652515,3.52
Suryapet,Jowar,5.9,62,34,32,25.097683859242096,297.1087531857076,68.62880420200239,3.18
Adilabad,Maize,7.2,148,45,28,35.98465136040863,830.5948722827544,59.49758122408564,5.68
Komaram Bheem Asifabad,Bajra,7.3,157,29,27,35.74151493598848,432.2034326135305,77.47901905629675,3.28
Mahabubabad,Bengal Gram,6.7,92,27,27,23.876668640580824,771.0135733967595,65.3321868403449,2.46
Hyderabad,Onion,5.1,135,32,21,25.396637212587336,212.14431362411395,53.98485278015194,26.21
Yadadri Bhuvanagiri,Red Gram,5.5,172,27,64,31.057458099936646,449.1428118846203,45.03290674419091,3.96
Mancherial,Chilli,6.3,163,57,69,36.781146398112334,433.7660835749268,41.04539304597981,4.74
Komaram Bheem Asifabad,Sunflower,7.5,59,75,65,30.802108106238634,431.4522159013824,54.822052356089536,3.28
Jangaon,Soybean,5.4,110,29,44,29.625626429769724,812.6293682705023,72.18445476116588,4.12
Yadadri Bhuvanagiri,Jowar,6.0,44,34,36,36.788242543222744,367.85065630291746,48.42307582565241,2.41
Yadadri Bhuvanagiri,Groundnut,6.6,128,69,55,23.92714419190611,836.9946390526037,64.93451433871995,4.59
Jagtial,Soybean,5.1,115,56,77,31.97170352679174,682.6357690876871,47.70765113517425,4.85
Mahabubnagar,Jowar,5.6,156,50,45,23.041487301599275,617.6139805074608,75.5223186995899,3.99
Nizamabad,Sesame,7.1,105,53,42,25.003324987694278,754.7500777782576,56.408576188831546,2.84
Nagarkurnool,Onion,7.5,62,34,68,27.78200835951771,636.8355187959196,41.70505319852806,26.13
Jagtial,Sesame,7.1,157,73,40,32.004019558313715,449.57582283875934,71.65618185871917,2.95
Wanaparthy,Cotton,7.5,171,71,36,23.399697521273914,205.25106809465368,77.77318978984331,4.38
Nalgonda,Rice,6.8,44,60,43,32.10154482981463,883.5786880799433,63.52444079918061,5.42
Mahabubnagar,Rice,5.4,146,54,42,23.043093956606718,391.1350634532257,74.45510388909375,5.14
Warangal,Groundnut,5.2,115,29,39,22.37798200574695,723.3720672943474,83.7338514111259,4.08
